"myMonth","Flights","DelayType","Delay","Year"
"2004-01-01",583987,"CarrierDelay",1723185,"2004"
"2004-02-01",553876,"CarrierDelay",1331459,"2004"
"2004-03-01",601412,"CarrierDelay",1288518,"2004"
"2004-04-01",582970,"CarrierDelay",1161420,"2004"
"2004-05-01",594457,"CarrierDelay",1521686,"2004"
"2004-06-01",588792,"CarrierDelay",1946065,"2004"
"2004-07-01",614166,"CarrierDelay",1971727,"2004"
"2004-08-01",623107,"CarrierDelay",1718626,"2004"
"2004-09-01",585125,"CarrierDelay",1085339,"2004"
"2004-10-01",610037,"CarrierDelay",1308635,"2004"
"2004-11-01",584610,"CarrierDelay",1474893,"2004"
"2004-12-01",606731,"CarrierDelay",2301520,"2004"
"2004-01-01",583987,"WeatherDelay",537786,"2004"
"2004-02-01",553876,"WeatherDelay",364234,"2004"
"2004-03-01",601412,"WeatherDelay",214701,"2004"
"2004-04-01",582970,"WeatherDelay",191870,"2004"
"2004-05-01",594457,"WeatherDelay",529168,"2004"
"2004-06-01",588792,"WeatherDelay",702461,"2004"
"2004-07-01",614166,"WeatherDelay",466874,"2004"
"2004-08-01",623107,"WeatherDelay",471948,"2004"
"2004-09-01",585125,"WeatherDelay",227281,"2004"
"2004-10-01",610037,"WeatherDelay",319073,"2004"
"2004-11-01",584610,"WeatherDelay",416112,"2004"
"2004-12-01",606731,"WeatherDelay",595952,"2004"
"2004-01-01",583987,"NASDelay",2310463,"2004"
"2004-02-01",553876,"NASDelay",1996455,"2004"
"2004-03-01",601412,"NASDelay",1787331,"2004"
"2004-04-01",582970,"NASDelay",1505284,"2004"
"2004-05-01",594457,"NASDelay",2665016,"2004"
"2004-06-01",588792,"NASDelay",2750596,"2004"
"2004-07-01",614166,"NASDelay",2437579,"2004"
"2004-08-01",623107,"NASDelay",2054527,"2004"
"2004-09-01",585125,"NASDelay",1266018,"2004"
"2004-10-01",610037,"NASDelay",1545249,"2004"
"2004-11-01",584610,"NASDelay",1862361,"2004"
"2004-12-01",606731,"NASDelay",2291475,"2004"
"2004-01-01",583987,"SecurityDelay",15364,"2004"
"2004-02-01",553876,"SecurityDelay",11295,"2004"
"2004-03-01",601412,"SecurityDelay",8872,"2004"
"2004-04-01",582970,"SecurityDelay",9601,"2004"
"2004-05-01",594457,"SecurityDelay",8724,"2004"
"2004-06-01",588792,"SecurityDelay",14876,"2004"
"2004-07-01",614166,"SecurityDelay",14033,"2004"
"2004-08-01",623107,"SecurityDelay",15655,"2004"
"2004-09-01",585125,"SecurityDelay",23856,"2004"
"2004-10-01",610037,"SecurityDelay",11628,"2004"
"2004-11-01",584610,"SecurityDelay",18773,"2004"
"2004-12-01",606731,"SecurityDelay",26542,"2004"
"2004-01-01",583987,"LateAircraftDelay",1922724,"2004"
"2004-02-01",553876,"LateAircraftDelay",1685452,"2004"
"2004-03-01",601412,"LateAircraftDelay",1687536,"2004"
"2004-04-01",582970,"LateAircraftDelay",1349671,"2004"
"2004-05-01",594457,"LateAircraftDelay",2257148,"2004"
"2004-06-01",588792,"LateAircraftDelay",2843794,"2004"
"2004-07-01",614166,"LateAircraftDelay",2680464,"2004"
"2004-08-01",623107,"LateAircraftDelay",2444041,"2004"
"2004-09-01",585125,"LateAircraftDelay",1104313,"2004"
"2004-10-01",610037,"LateAircraftDelay",1599119,"2004"
"2004-11-01",584610,"LateAircraftDelay",1959762,"2004"
