"Month","Flights","CarrierDelay","LateAircraftDelay","NASDelay","SecurityDelay","WeatherDelay"
1,605765,2355954,3145788,2422180,12912,429828
2,569236,2398296,3495284,2572644,11361,544326
3,616090,2527895,3344243,2487133,15117,474687
4,598126,1926766,2277313,1964005,7645,268806
5,606293,1722631,2244264,1996671,9751,240013
6,608665,2482267,3580641,3226918,10614,571832
7,627931,2417097,3062892,2716037,13126,555794
8,612279,2130584,2490422,2068748,7414,398906
9,540908,1218688,1075911,1177489,4823,157032
10,556205,1145054,1149195,1102384,5285,105092
11,523272,1121975,1525169,1527896,4087,139442
12,544958,2601010,4279120,2909396,12181,747959
